date,cefi_point,ci_lower_95,ci_upper_95
1991-12-20,1.4646272897028312,0.8065542834927271,1.3788935683311314
1992-12-16,1.4089105868644936,0.7448091764627666,1.4275995082306447
1993-12-13,1.302064564062623,0.679947959425961,1.0875817726463706
1994-12-08,1.3572778396287828,0.6157165602259723,1.197870955242387
1995-12-05,1.3446207992855328,0.6747720068299881,1.1616970252925143
1996-11-29,1.1167871251584351,0.6740565232164137,1.085686470470775
1997-11-25,1.2083415066296368,0.7428473341046823,1.1251286362414274
1998-11-23,1.1884453307630314,0.7330841027311897,1.121557298280265
1999-11-19,1.0603061993854963,0.6319078817931199,1.1314507191688987
2000-11-15,1.1501909340146645,0.6595244177171363,1.0618901555169493
2001-11-19,1.0972868583855568,0.6022242055894834,0.9805291560967219
2002-11-15,0.999597317377444,0.6363712171133199,1.044937622650412
2003-11-13,1.0681123806801494,0.6491635735181464,1.021984784728833
2004-11-11,1.1338609175349235,0.6748313275726241,1.1657034318191155
2005-11-08,1.1333524910988935,0.736580276194963,1.1584219248536363
2006-11-06,1.065923693115609,0.7103527290682943,1.1626173627175145
2007-11-05,1.1287858176212557,0.7324984526250857,1.0449496548220665
2008-10-31,1.1127404466074045,0.7230116227929931,1.2220419407135155
2009-10-29,1.0625007586366078,0.7241092958706806,1.044494301107531
2010-10-27,0.9317607806156034,0.7200111255175582,1.035982798456368
2011-10-24,0.9792811738720131,0.71230414389737,1.1190999571084508
2012-10-19,0.9669298936640063,0.7167520032300208,1.096579306744309
2013-10-21,0.9924536409678084,0.7490640882732251,1.0645607405479565
2014-10-17,1.0991584293024048,0.6809340801419212,1.1079567127788708
2015-10-15,1.0847305714366064,0.715491438157815,1.1833760890249847
2016-10-12,1.080811715735372,0.7466654560721678,1.1051713231980451
2017-10-10,1.1297068635978191,0.6648299637949278,1.070986833421622
2018-10-08,1.0940552493750917,0.7313066370259554,1.2640763076783643
2019-10-07,1.0841366415331413,0.778624395441147,1.1274587661480968
2020-10-02,1.167687830283925,0.7864730251974759,1.1337651070381516
2021-09-30,1.3015052577373023,0.9386438194957325,1.4194521687151758
2022-09-28,1.2344612451362034,0.9071134941359049,1.2870902435446525
2023-09-27,1.185932177085352,0.8473576950728402,1.3219798464227632
2024-09-25,1.1035654577538736,0.8134256422208147,1.1470612603580554
2025-09-25,1.1797405547524211,0.8251374598440839,1.1330556861768775
