,cefi_A,q_A,delta_J_liu,q_liu,cefi_svd,q_svd,cefi_B,q_B,subspace_dist,objective_gap
1993-10-15,0.11483020162609554,1,0.000903585861919548,29,0.4071762826000745,1,0.0034437314549792264,15,1.4010736157147885,0.29234608097397896
1993-10-29,0.12591554600315832,1,0.0016932746922585923,13,0.4322650232163719,1,0.007347806623700853,13,1.400247113205702,0.3063494772132136
1993-11-12,0.14759650916699227,1,0.00323481200179776,15,0.45299773530390125,1,0.010921588778076877,15,1.3927059059913118,0.305401226136909
1993-11-29,0.16918767750119595,1,0.00027044543046073066,28,0.4123083136366288,1,0.005906497946337588,21,1.3998689322298623,0.24312063613543283
1993-12-13,0.13004700641784117,1,0.00019534982022026415,28,0.410521303000444,1,0.0026810669898649775,13,1.4141810075372003,0.2804742965826028
1993-12-28,0.08919487532983959,1,0.0024271691644958543,28,0.4119611207737608,1,0.003059109329730275,28,1.4136823552356592,0.3227662454439212
1994-01-11,0.08617092860169795,1,0.0004957668238991936,23,0.40777336559511485,1,0.0019278549907987413,16,1.3982477137870228,0.3216024369934169
1994-01-25,0.08127451424640586,1,0.00023777571831767874,27,0.4162503822382164,1,0.004047854572156881,3,1.3938825508855974,0.33497586799181056
1994-02-08,0.09344674674466963,1,0.0011460863107455033,27,0.4112311278868948,1,0.0024908040448543695,21,1.3886226679262246,0.3177843811422252
1994-02-23,0.10925632979147051,1,0.0011124020333676682,29,0.37161504889120384,1,0.0011003831493353877,24,1.4039914509329472,0.2623587190997333
1994-03-09,0.08384663896401764,1,-0.0003288856444454702,29,0.37442569773586937,1,0.0026321974396137787,14,1.3981260840349732,0.29057905877185175
1994-03-23,0.07354977866939362,1,-0.0004323070321950867,29,0.35761175482559754,1,0.002005361897734481,17,1.3997798233531875,0.28406197615620393
1994-04-07,0.07489133352051965,1,-0.0024939619462034657,25,0.32400448783084207,1,-0.0013406118141514878,28,1.4111520103447555,0.24911315431032244
1994-04-21,0.07267257627379765,1,0.0001999820833855498,28,0.3534266047500041,1,0.0022870044980010384,23,1.386267802647409,0.28075402847620645
1994-05-06,0.06956640972714813,1,0.003806744184169028,22,0.3687551944774115,1,0.013788382490156861,8,1.381437869531945,0.2991887847502634
1994-05-20,0.06362472622739901,1,0.0002598403327745691,29,0.4163002516875318,1,0.002554951105407155,21,1.3882420804326587,0.3526755254601328
1994-06-06,0.057728933251726317,1,0.0007738483024568449,8,0.41808332052389624,1,0.009869478806095108,8,1.391278922838253,0.36035438727216995
