date,ei_micro,ei_micro_density,macro_ei_max,macro_ei_max_density,cefi,cefi_excess,cefi_raw,q_star,delta_ei_q_1,delta_ei_q_2,delta_ei_q_3,delta_ei_q_4,delta_ei_q_5,delta_ei_q_6,delta_ei_q_7,delta_ei_q_8,delta_ei_q_9,delta_ei_q_10,delta_ei_q_11,delta_ei_q_12,delta_ei_q_13,delta_ei_q_14,delta_ei_q_15,delta_ei_q_16,delta_ei_q_17,delta_ei_q_18,delta_ei_q_19,delta_ei_q_20,delta_ei_q_21,delta_ei_q_22,delta_ei_q_23,delta_ei_q_24,delta_ei_q_25,delta_ei_q_26,delta_ei_q_27,delta_ei_q_28,delta_ei_q_29
1991-12-20,4.978342644646585,0.16594475482155283,3.162150164377667,1.5810750821888335,1.4151303273672806,1.4446167297612875,4.870819077778734,2,-0.14118984294313605,1.4151303273672806,1.2479700949600516,1.019293694054292,0.833303750390996,0.6925430673209523,0.5302199383272378,0.6118490235494584,0.47637866426545195,0.4416599766419572,0.3322411918006508,0.3940341374801013,0.3897495490514288,0.3763215474775754,0.3719366923458115,0.3252014379945314,0.327776170021599,0.28729727107533387,0.2677666572632693,0.2539483702780736,0.24953719975199926,0.2406743747145418,0.22722522511086599,0.20564751306503418,0.1973015861952652,0.19853250316692242,0.17553284912962633,0.1858110209793514,0.1674569551422915
1991-12-24,4.98611425073501,0.1662038083578337,4.374188381825467,1.4580627939418225,1.2918589855839888,1.318713754755729,4.789602322160452,3,-0.1385501824508339,0.9174848555170856,1.2918589855839888,0.8468454599738673,0.8784417398257973,0.8685727194319268,0.7106715476694553,0.553565506005788,0.6038815691405015,0.5270576339360037,0.483724443030378,0.4041458806914181,0.4232856757145872,0.3697638561572588,0.3470546482667428,0.3282333721661347,0.2908229575801349,0.2978521504720044,0.2723740931990378,0.26844016870065557,0.2526395014559457,0.23798308989575587,0.22892856819575605,0.22065793120605995,0.1942844133584324,0.19707965413832504,0.19185825065755022,0.1792605053115877,0.170889866569596
1991-12-27,4.978605019667274,0.1659535006555758,3.335788466752291,1.6678942333761455,1.5019407327205698,1.5314271351145767,4.992915762031222,2,-0.12316119114817597,1.5019407327205698,1.2330208768773399,0.9488770646969836,0.9336823379875984,0.7736908355856871,0.5775469348090496,0.5829129086174247,0.5903422253917059,0.4267469489827237,0.5253532420634696,0.4550251787958508,0.41906765199019647,0.3646958245580476,0.3152368070069024,0.34179429608400813,0.29880666165788333,0.29297960395549655,0.2648701768150015,0.2763708692432703,0.26472084172273924,0.23864488559363228,0.22739578361563334,0.20579192507720295,0.20576944718020024,0.1997464135464384,0.18038264848416752,0.18308173866636873,0.17789204354092408
1991-12-31,4.981273004210048,0.16604243347366826,3.8114646374345966,1.9057323187172983,1.73968988524363,1.769176287637637,4.7847833783402995,2,-0.09722953166010107,1.73968988524363,1.242423605084964,1.0437404016124983,0.9510779698556493,0.7215140598600707,0.7446869039193218,0.5534674230376373,0.5415727633620671,0.5219906652813824,0.4354452032546576,0.4237638689783864,0.433400676140049,0.3746514854647021,0.32279734852081465,0.34606587323691024,0.2868677168388179,0.2975335981607925,0.28402130677257903,0.2597649217726858,0.25127550280562333,0.23341683335018748,0.22814982237221199,0.21768612851029856,0.20372875875579383,0.20421094654535243,0.1874081880457361,0.1735373821374756,0.170718131441861
1992-01-03,4.960706918897519,0.16535689729658395,3.5717079508223613,1.7858539754111806,1.6204970781145966,1.6499834805086036,4.915168943294101,2,-0.13103786834381398,1.6204970781145966,1.4012422302517824,1.0367595336826052,0.8889110316196691,0.7713240595377611,0.5421961861471668,0.5719573092573658,0.6173341358008105,0.503744544349333,0.44002562925903266,0.41240383407802084,0.3827155550252904,0.362278163553868,0.34195352897698983,0.3066754436235105,0.2875423255124344,0.3208929934104685,0.2773330035875331,0.2453855593033509,0.2542698927415542,0.23977424891504504,0.2166463796038908,0.21842453541339654,0.2070693533344414,0.19990666574552288,0.18531665448422627,0.17851190837961065,0.17519054622726501
1992-01-07,4.953699818954674,0.16512332729848914,3.363504752057851,1.6817523760289255,1.5166290487304364,1.5461154511244433,4.749203425178822,2,-0.14141743029084686,1.5166290487304364,1.4433487401153473,0.8777550583481881,0.8231595450187488,0.7736330078331782,0.6777983629055238,0.6094929681607948,0.5491311334721014,0.5393040600228984,0.491190024663994,0.42317692914318594,0.39993495043895033,0.35735977099330785,0.34940034015027677,0.31309505329810694,0.2970905046164458,0.2847924161033718,0.2780194056158739,0.2439706635866579,0.25767510064523047,0.25042587321230136,0.2345092502219078,0.21234961408034495,0.21803085380858458,0.2041903320052144,0.18993892455912306,0.18102599566991048,0.16945954318887282
1992-01-09,4.901520665358197,0.16338402217860656,3.3685914034058606,1.6842957017029303,1.5209116795243238,1.5503980819183307,4.8030268032414885,2,-0.10204003945763583,1.5209116795243238,1.2277504849268093,1.127170163541375,0.7964330904194619,0.8350120248749902,0.6281425535051268,0.5620781899202322,0.5486331379586711,0.5179366570419428,0.44042209217435313,0.36566735888663604,0.39880068983688566,0.38121411937783267,0.32303482165647845,0.28870800971251087,0.2801917220293475,0.2603843930690857,0.26320708538511195,0.2571548294499947,0.24481273808822238,0.24395566696174711,0.2230936763150481,0.20880296859653283,0.19965624686629949,0.20167343836922516,0.18762059657469984,0.18278851753877176,0.17125554570414117
1992-01-13,4.881723035499246,0.1627241011833082,3.2808107161029167,1.6404053580514584,1.47768125686815,1.507167659262157,4.8363372555876305,2,-0.055301738864231675,1.47768125686815,0.9646545152648847,1.0614837777099362,0.8448324553821798,0.8170974089722514,0.5935643663533208,0.6380594021896941,0.558945715629285,0.5434397017652934,0.43891009998370895,0.40440897622966915,0.36682262358861223,0.35873597426288567,0.3485494978891221,0.3131679999178479,0.3154241600074365,0.2654793325929992,0.2871537675346127,0.2492458922846051,0.2422374836412156,0.22968264677501254,0.2210281183754108,0.2060497325099207,0.20201349140363212,0.19183371837764823,0.1947263766810926,0.17593390525114916,0.17238142609554963
1992-01-15,4.8905058816753275,0.16301686272251092,3.9659978789909345,1.9829989394954672,1.8199820767729564,1.8494684791669633,4.960004484381498,2,-0.13026725961694627,1.8199820767729564,1.3131378974514094,1.1680743292322089,0.9592503688589847,0.6154941365073184,0.5736708716576436,0.6535960625140594,0.530832823745245,0.46414255886118594,0.47102303615025687,0.4293943824210684,0.4125970703409537,0.38743030637018594,0.3619773072877881,0.30835074882288604,0.2981950118818018,0.27115539048154386,0.2787417206200007,0.25395514544414005,0.24944829843794875,0.23739304064988198,0.2214836937709433,0.21418257600029406,0.21410747883734965,0.19455460200703645,0.19419319178230948,0.18822384482565174,0.1766559085208279
1992-01-17,4.876180496631781,0.16253934988772603,4.052564599388633,1.3508548664628777,1.1883155165751516,1.2151702857468918,4.994642955798621,3,-0.13274328609175037,0.53222123284899,1.1883155165751516,0.9424291236478034,0.8156701191473804,0.7655928928881066,0.6323029212065723,0.5982345531495111,0.5135124177763934,0.45282983404268917,0.4625492251777543,0.43265195821398716,0.4208791521402041,0.3491081680814938,0.3726051603471874,0.3193500128489134,0.30450752789304125,0.2901632271043486,0.28542128832872804,0.258429299032399,0.2542222711241263,0.23917656483457236,0.23209489953613663,0.22894070183003137,0.2086257730008995,0.1973555813135475,0.19095678202189878,0.18521409197148467,0.17783387260987402
