Kappa (kappa),Mean CEFI,Std CEFI,Modal q*,Spearman Corr vs kappa=1,Pearson Corr vs kappa=1,q* Agreement vs kappa=1 (%)
0.25,0.2722064832765956,0.2651803861553071,4,0.7986767878791825,0.7776227321253938,7.126436781609195
0.5,0.5259165247364407,0.3488374422252947,4,0.7870227572384617,0.810547575353938,18.735632183908045
1.0,0.8783802705024902,0.3660983532701931,3,0.9999999999999999,1.0,100.0
2.0,1.1667671835479492,0.27578000568537847,2,0.7502706027693485,0.7805044304242542,28.160919540229884
4.0,1.2724283241719858,0.22031104797733872,3,0.7078255099949334,0.7522588311981357,28.620689655172416
