Window Size (W),Mean CEFI,Std CEFI,Modal q*,Spearman vs W=500,Pearson vs W=500,q* Agreement vs W=500 (%)
500 days (~2y),0.8593661094181542,0.3554586857608826,3,0.9999999999999999,1.0,100.0
750 days (~3y),0.8078533224307579,0.38547819172802966,2,0.6837134702141683,0.7396282595756314,25.365853658536587
1000 days (~4y),0.7641846697945209,0.3771768190782459,3,0.5990801411139488,0.6590483895182869,23.04878048780488
