Excluded_Episode,Excluded_Category,Beta_Liq,Beta_Val,Delta_Beta,Wald_t,Sign_Preserved
Dot-Com Crash,Valuation,0.33595530651395145,-0.0016403220094793167,0.3375956285234308,2.944121668775096,True
2008 GFC,Liquidity,0.5143331558933169,-0.3545786901178422,0.8689118460111591,5.564236916853711,True
2020 COVID,Liquidity,0.3027121618568764,-0.35457869011784504,0.6572908519747214,6.192416262511101,True
2022 Tightening,Valuation,0.33595530651394834,-0.4757366373789077,0.811691943892856,9.117302187890475,True
