Episode,Category,Mean_CEFI_res,Median_CEFI_res,Std_CEFI_res
Dot-Com Crash,Valuation,-0.05888323635814885,-0.08753981766708807,0.12872521604584808
2008 GFC,Liquidity,0.039352410830917006,0.04276537657809476,0.16130344515293263
2020 COVID,Liquidity,0.27649449282526944,0.33059258814065107,0.2483260391934197
2022 Tightening,Valuation,0.03934555353614095,0.007193293490842856,0.13599231552647778
