date,ei_micro,ei_micro_density,macro_ei_max,macro_ei_max_density,cefi,cefi_raw,q_star,optimizer_budget
1991-12-20,4.9783426446465935,0.1659447548215531,3.9320886495944665,1.9660443247972332,1.80009956997568,5.514642480763479,2,12/100
1991-12-24,4.986114250735009,0.16620380835783363,4.008189961262276,2.004094980631138,1.8378911722733042,5.482265728703472,2,12/100
1991-12-27,4.978605019667283,0.1659535006555761,3.9372348669496975,1.9686174334748487,1.8026639328192726,5.490705759326135,2,12/100
1991-12-31,4.981273004210045,0.16604243347366815,4.0039392937799025,2.0019696468899513,1.8359272134162832,5.538474324075636,2,12/100
1992-01-03,4.960706918897527,0.16535689729658423,3.7150973824680684,1.8575486912340342,1.69219179393745,5.444710581605145,2,12/100
1992-01-07,4.953699818954682,0.16512332729848941,4.006810297940142,2.003405148970071,1.8382818216715815,5.39791563918598,2,12/100
1992-01-09,4.901520665358192,0.1633840221786064,3.9681040898780844,1.9840520449390422,1.8206680227604357,5.468368357167697,2,12/100
1992-01-13,4.881723035499243,0.1627241011833081,3.99305903441385,1.996529517206925,1.833805416023617,5.438268464261287,2,12/100
1992-01-15,4.890505881675303,0.1630168627225101,3.950400742028729,1.9752003710143644,1.8121835082918543,5.486887401278821,2,12/100
1992-01-17,4.876180496631786,0.1625393498877262,3.5584954844255834,1.7792477422127917,1.6167083923250656,5.5900969003180965,2,12/100
1992-01-21,4.930426480654747,0.16434754935515822,3.684527874289018,1.842263937144509,1.6779163877893508,5.629502655947942,2,12/100
1992-01-23,4.816928631230026,0.16056428770766754,3.7149553242588444,1.8574776621294222,1.6969133744217546,5.547974023939806,2,12/100
1992-01-27,4.775016904640557,0.15916723015468523,3.8954990196034753,1.9477495098017377,1.7885822796470525,5.464898336007851,2,12/100
1992-01-29,4.735694594342473,0.15785648647808243,3.9124414425766565,1.9562207212883282,1.7983642348102458,5.490772987027606,2,12/100
1992-01-31,4.68491159677316,0.15616371989243868,3.665208805769278,1.832604402884639,1.6764406829922005,5.511243876674021,2,12/100
1992-02-04,4.658124575956901,0.15527081919856336,3.6561218870978704,1.8280609435489352,1.6727901243503718,5.5135248680368445,2,12/100
1992-02-06,4.626861462482004,0.15422871541606678,3.8613699109012973,1.9306849554506487,1.7764562400345818,5.491818784310117,2,12/100
1992-02-10,4.633107084752785,0.15443690282509284,3.8550282066451453,1.9275141033225727,1.7730772004974797,5.541250220844228,2,12/100
1992-02-12,4.633863195545566,0.15446210651818554,3.7514025232732386,1.8757012616366193,1.7212391551184338,5.546192965755615,2,12/100
1992-02-14,4.639063366713971,0.15463544555713238,3.8298913275891153,1.9149456637945577,1.7603102182374253,5.565203333799641,2,12/100
1992-02-19,4.6294850910497205,0.15431616970165735,3.6312209434565497,1.8156104717282748,1.6612943020266175,5.588699445896565,2,12/100
1992-02-21,4.618603836520635,0.1539534612173545,3.843514323447991,1.9217571617239955,1.767803700506641,5.629243723743136,2,12/100
1992-02-25,4.604508295319029,0.15348360984396764,3.8528328604550532,1.9264164302275266,1.772932820383559,5.576821401568946,2,12/100
1992-02-27,4.61425520507995,0.15380850683599834,3.818239813533735,1.9091199067668676,1.7553113999308692,5.588741222915908,2,12/100
1992-03-02,4.626417465681918,0.1542139155227306,3.6418913068619467,1.8209456534309734,1.6667317379082427,5.610943140982284,2,12/100
1992-03-04,4.640460801939976,0.15468202673133252,3.6761316606973358,1.8380658303486679,1.6833838036173354,5.640938466182031,2,12/100
1992-03-06,4.646352182083315,0.15487840606944384,3.8565291093510603,1.9282645546755302,1.7733861486060862,5.603750385373208,2,12/100
1992-03-10,4.609387653280652,0.15364625510935506,3.828888229109611,1.9144441145548055,1.7607978594454503,5.6446027255270055,2,12/100
1992-03-12,4.601014140413355,0.1533671380137785,3.840830639949479,1.9204153199747396,1.7670481819609611,5.577100269516517,2,12/100
