kappa,Mean_CEFI,Spearman_rho_vs_Baseline,Modal_q,beta_Liq,t_stat_Liq
0.25,0.0005206607340492804,0.6878619830784297,28,0.0015383844087849975,1.274404831598437
0.5,0.031626781186503035,0.8385694728922429,3,0.020536088417623753,1.0424303709527913
1.0,0.23751384138305123,1.0,1,0.03358004193598239,1.0759754009840932
2.0,0.5145668799265865,0.8934943789694685,1,0.023097198040442288,0.6775834971006238
4.0,0.7728848103930145,0.7886627410819979,1,-0.0037624611102653333,-0.1202548566995072
