Episode,Type,N_Windows,Mean_CEFI,Median_CEFI,Modal_q,Pct_q_le_4
Dot-Com Crash,Valuation Repricing,327,0.10763007436741967,0.0966275023758126,2,92.66055045871559
2008 GFC Peak,Systemic Liquidity,189,0.2764450923392262,0.2319397588000076,1,98.94179894179894
2020 COVID Shock,Systemic Liquidity,31,0.2791607757924873,0.3171996954207799,2,100.0
2022 Rate Tightening,Valuation Repricing,125,0.33956727460518416,0.3166246032088278,1,100.0
All Systemic Liquidity,Pooled Liquidity,220,0.2768277568258221,0.23309153306515484,1,99.0909090909091
All Valuation Repricing,Pooled Valuation,452,0.1717719992119342,0.1248337754991175,1,94.69026548672566
