Episode,Mean_Residual_CEFI,Median_Residual_CEFI
Dot-Com Crash,-0.10086910112577505,-0.11340479641689483
2008 GFC Peak,0.012152916889984051,0.007670763819482174
2020 COVID Shock,0.05035698319865559,0.07858126202048887
2022 Rate Tightening,0.05377114933220364,0.011247954340559252
