HAC_Lag,beta_Liq,t_Liq,beta_Val,t_Val,Delta_beta,Wald_t,Wald_p
20,0.03358004193598239,1.3595912745355878,-0.07147571567790567,-2.9047326444826074,0.10505575761388805,3.1065319388596335,0.001892958585719695
40,0.03358004193598239,1.0759754009840932,-0.07147571567790567,-2.19958012424126,0.10505575761388805,2.398416744500516,0.01646611924396235
60,0.03358004193598239,0.9892480328705736,-0.07147571567790567,-1.8952605897598338,0.10505575761388805,2.1245891897968683,0.03362090667536011
120,0.03358004193598239,0.9901926694780561,-0.07147571567790567,-1.5019334645928233,0.10505575761388805,1.826157436573548,0.06782655059315168
250,0.03358004193598239,1.2611709936521656,-0.07147571567790567,-1.3296922836470366,0.10505575761388805,1.7069185880979052,0.08783718535500418
