Excluded_Episode,beta_Liq,beta_Val,Delta_beta,Wald_t,Wald_p
None (Full Sample),0.03358004193598239,-0.07147571567790567,0.10505575761388805,2.398416744500516,0.01646611924396235
Exclude Dot-Com Crash,0.033580041935983976,0.09631955971534556,-0.06273951777936158,-1.364120054116587,0.17252978410093478
Exclude 2008 GFC Peak,0.03591306090265047,-0.0714757156779047,0.10738877658055518,2.604914020375048,0.009189731773880272
Exclude 2020 COVID Shock,0.0331973774493905,-0.07147571567790109,0.10467309312729159,2.220618752778562,0.026376794568482298
Exclude 2022 Rate Tightening,0.03358004193598485,-0.1356176405224101,0.16919768245839495,5.243066309926411,1.5792974905615154e-07
